category,text,urgency
JARINGAN_IT,"jangkauan wifi gedung a lantai 1 tidak luas, susah download materi kls",TINGGI
JARINGAN_IT,"jangkauan wifi gedung a lantai 1 tidak sampai ke semua ruangan, terpaksa pakai kuota sendiri",RENDAH
KEMAHASISWAAN,"pengurusan surat keterangan mhs aktif butuh seminggu lebih, bgt lama",RENDAH
KEUANGAN,"pengumuman deadline pembayaran ukt tidak sampai ke semua mhs, mhs kaget",KRITIS
LAINNYA,"keamanan gedung saat weekend cctv-nya tidak berfungsi, tidak kondusif untuk kegiatan malam",RENDAH
JARINGAN_IT,"wifi gedung b lantai 3 nge-lag terus, terpaksa pakai kuota sendiri",RENDAH
FASILITAS,"lab komputer mipa kondisinya fasilitasnya tidak memadai, hasil praktikum tidak valid",RENDAH
LAINNYA,"kantin pusat harganya mahal, terpaksa keluar kampus",RENDAH
LAINNYA,"penerangan jalan di belakang rektorat gaada, berbahaya malam hari",SEDANG
KEMAHASISWAAN,"pengurusan ktm butuh seminggu lebih, bgt lama",RENDAH
LAINNYA,"kebersihan taman kampus gaada tempat sampah, baunya tidak enak",RENDAH
JARINGAN_IT,"wifi gedung d bapuk ga stabil, terpaksa pakai kuota sendiri",RENDAH
JARINGAN_IT,"koneksi internet gedung fisip gabisa diandalkan, gabisa akses spada",RENDAH
AKADEMIK,"nilai di portal ada yang salah input, mhs jadi bingung",SEDANG
KEUANGAN,"pembayaran ukt prosedurnya rumit, mhs jadi bingung",TINGGI
JARINGAN_IT,wifi kampus gabisa konek apalagi kalau acara kampus,RENDAH
FASILITAS,"lab komputer mipa kondisinya pengap, gabisa praktik dengan benar",RENDAH
LAINNYA,"jalan di belakang rektorat bergelombang, bisa bikin kecelakaan",KRITIS
FASILITAS,"gaada ruang tunggu di gedung a lantai 2, padahal bgt dibutuhkan",RENDAH
FASILITAS,"plafon ruangan 1.1 bocor saat hujan, khawatir mhs tidak nyaman",RENDAH
JARINGAN_IT,"koneksi internet gedung b lantai 3 lemot parah, gabisa akses spada",SEDANG
AKADEMIK,"website sistem krs ui-nya outdated bgt, nilai terancam",TINGGI
AKADEMIK,"spada gabisa diakses saat saat uas, nilai terancam",KRITIS
KEUANGAN,"informasi beasiswa mendadak diumumkan, mhs kurang mampu dirugikan",TINGGI
FASILITAS,"fasilitas prodi informatika tidak memadai, masa bayar ukt tapi fasilitas gini",TINGGI
KEMAHASISWAAN,"pengurusan dokumen beasiswa makan waktu lebih dari 2 minggu, bgt tidak efisien",TINGGI
FASILITAS,"kursinya kan sekaligus ada mejanya, tetapi kebanyakan hanya kursinya saja tanpa meja",RENDAH
AKADEMIK,"website siakad sering down, belajar jadi terganggu",TINGGI
KEUANGAN,"pembayaran biaya kkn harus datang langsung berkali-kali, menghambat proses akademik",RENDAH
JARINGAN_IT,wifi kampus lemot parah apalagi kalau banyak yang konek,SEDANG
FASILITAS,lahan parkir di gedung d sempit bgt jadi sering telat kls,RENDAH
AKADEMIK,"krs gabisa tambah matkul, mhs jadi bingung",TINGGI
FASILITAS,"kursi di ruangan 1.2 banyak yang hilang, susah nulis waktu kls",RENDAH
FASILITAS,"jendela ruang kls lantai 2 engselnya ancur, panas masuk ruangan",SEDANG
KEMAHASISWAAN,"informasi lowongan magang tidak disebarkan merata, proses terhambat",RENDAH
LAINNYA,"kebersihan area kantin bgt kotor, mencerminkan citra kampus yang buruk",SEDANG
LAINNYA,"lapangan futsal tidak terawat, mhs gabisa olahraga gratis",TINGGI
FASILITAS,"tolong ac gedung d segera diperbaiki, kurang dingin dan badan rasanya mau pingsan",RENDAH
FASILITAS,"ac di ruang kls lantai 2 udah lama nda diperbaiki, cuma pajangan",RENDAH
FASILITAS,"ac gedung a lantai 1 cuma pajangan, gak optimal padahal ukt mahal tapi fasilitas tidak sesuai",TINGGI
JARINGAN_IT,wifi prodi kalau rame kadang susah tersambung ke hp,RENDAH
KEMAHASISWAAN,"kegiatan lomba antar prodi kurang dukungan kampus, pengurusan jadi bgt lama",RENDAH
LAINNYA,"lingkungan sekitar prodi akuntansi minim fasilitas publik, tidak nyaman buat aktivitas luar",RENDAH
LAINNYA,"kantin area food court kampus jamnya terlalu singkat, mhs susah makan siang",RENDAH
AKADEMIK,"jadwal kls sering berubah mendadak, mhs dirugikan",RENDAH
FASILITAS,"banyak kursi di gedung b lantai 2 yang goyang terus, capek bgt dikelas",RENDAH
KEUANGAN,beasiswa prosesnya tidak jelas dan hanya yang punya koneksi yang dapat,TINGGI
FASILITAS,"tangga gedung fisip gaada pegangan, bahaya kalau terpeleset",RENDAH
LAINNYA,"gerbang gerbang 1 gaada sistem akses, tidak aman soalnya siapa saja bisa masuk",RENDAH
KEMAHASISWAAN,"kegiatan kegiatan sosial kampus tidak terorganisir dengan baik, banyak yang tidak terlayani",TINGGI
KEMAHASISWAAN,"pengurusan surat rekomendasi butuh seminggu lebih, bgt lama",RENDAH
AKADEMIK,"ruang kls terlalu sempit, nilai bisa jelek soalnya tidak konsen",RENDAH
AKADEMIK,"website siakad sering down, mhs rugi bgt",TINGGI
JARINGAN_IT,"koneksi internet gedung fisip gabisa diandalkan, susah download materi",TINGGI
FASILITAS,"gedung rektorat panas bgt soalnya cuma pajangan, gabisa fokus",RENDAH
KEMAHASISWAAN,hak mhs dalam hak dan kewajiban mhs kurang disosialisasikan,RENDAH
KEMAHASISWAAN,"program pertukaran mhs kuota yang terlalu sedikit, mhs kurang diuntungkan",RENDAH
AKADEMIK,"website siakad ui-nya outdated bgt, nilai terancam",TINGGI
KEMAHASISWAAN,"layanan hima sering tutup, proses administrasi terhambat",RENDAH
KEMAHASISWAAN,"pengurusan transkip nilai sementara harus bolak-balik, mhs jadi kesal",RENDAH
JARINGAN_IT,wifi kampus nge-lag terus apalagi kalau acara kampus,RENDAH
AKADEMIK,"nilai tidak sesuai ekspektasi tanpa penjelasan, mhs dirugikan",RENDAH
JARINGAN_IT,"sinyal di lab komputer gaada sama sekali, gabisa upload tugas",RENDAH
KEUANGAN,"keringanan ukt susah diajukan, prosedurnya tidak jelas alurnya",TINGGI
JARINGAN_IT,spada sering eror saat saat banyak pengguna,TINGGI
AKADEMIK,"gaada feedback nilai dari dosen, proses jadi terlelet",SEDANG
KEUANGAN,"informasi beasiswa tidak transparan, prosesnya tidak adil",TINGGI
KEMAHASISWAAN,"informasi prosedur pengajuan surat tidak disebarkan merata, proses terhambat",RENDAH
JARINGAN_IT,"wifi lab biologi kayak tidak dibayar, tidak produktif di kampus",TINGGI
FASILITAS,"min, wc di gedung a lantai 2 kondisinya cuma pajangan, tolong segera diperbaiki",RENDAH
AKADEMIK,"krs gabisa tambah matkul, proses akademik jadi terlelet",TINGGI
FASILITAS,"gedung a lantai 3 panas bgt soalnya panasnya parah, capek bgt dikelas",RENDAH
FASILITAS,"tolong ac prodi informatika segera diperbaiki, gak optimal dan mhs tidak konsen belajar",SEDANG
FASILITAS,"ac di prodi akuntansi berisik bgt, jadi mhs tidak konsen belajar",RENDAH
KEUANGAN,"gaada info resmi tentang distribusi beasiswa, mhs hanya dengar dari mulut ke mulut",TINGGI
AKADEMIK,"sistem spada ui-nya bgt tidak user-friendly, tugas jadi terlelet dikumpulkan",SEDANG
JARINGAN_IT,"wifi gedung mipa nge-lag terus, gabisa akses spada",RENDAH
LAINNYA,"kantin dekat gedung fisip harganya mahal, gaada pilihan sehat",RENDAH
LAINNYA,"lingkungan sekitar perpus pusat kurang terawat, tidak mendukung kreativitas mhs",RENDAH
FASILITAS,"wc gedung b lantai 1 jorok bgt, terpaksa ke gedung lain yang jauh",RENDAH
LAINNYA,"lingkungan sekitar gedung b lantai 3 kurang terawat, tidak nyaman buat aktivitas luar",RENDAH
JARINGAN_IT,"jaringan di lab biologi sering putus-putus, susah akses internet",RENDAH
JARINGAN_IT,"sinyal di perpus pusat gaada sama sekali, gabisa upload tugas",RENDAH
JARINGAN_IT,zoom kls online sering lag soalnya wifi lab komputer tidak memadai,RENDAH
FASILITAS,"remot ac di gedung b hanya ada 2, seharusnya di perbanyak lagi minimal 2 remote dalam 1 lantai, akhirnya jika remotnya di lantai 1 ac untuk lantai 3 tidak hidup",RENDAH
FASILITAS,"lampu di ruang kelas b2 tidak berfungsi, gabisa presentasi pakai proyektor",RENDAH
KEUANGAN,"pengumuman deadline pembayaran ukt tidak diinformasikan dengan jelas, mhs yang urgent jadi kesusahan",TINGGI
LAINNYA,"jalan di area parkir utama gaada lampu penerang malam hari, berbahaya buat motor",RENDAH
AKADEMIK,"gaada feedback nilai dari dosen, stress ngurusnya",RENDAH
FASILITAS,"ac gedung fh cuma pajangan, berisik bgt padahal masa bayar ukt tapi fasilitas gini",TINGGI
KEMAHASISWAAN,"fasilitas lapangan olahraga terlalu kecil, mhs jadi kesal",RENDAH
AKADEMIK,"spada sering down waktu jam kls, susah akses materi",TINGGI
LAINNYA,jalan di uho dekat auditorium baru jelek berlubang,RENDAH
FASILITAS,"plafon ruang seminar jelek parah, khawatir mhs tidak nyaman",RENDAH
AKADEMIK,"dosen tidak responsif di grup, proses akademik terhambat",RENDAH
LAINNYA,"lingkungan sekitar ruang seminar gersang gaada pohon, panas bgt siang hari",RENDAH
LAINNYA,"kebersihan area kampus gaada tempat sampah, tidak nyaman untuk beraktivitas",RENDAH
FASILITAS,"banyak kursi di lab kimia yang gaada mejanya, capek bgt dikelas",RENDAH
JARINGAN_IT,wifi kampus nge-lag terus apalagi kalau banyak yang konek,RENDAH
KEUANGAN,"dana praktikum jumlahnya tidak sesuai, mhs dirugikan",RENDAH
LAINNYA,"gerbang pintu masuk utama pintunya ancur, sering terlelet kls",SEDANG
AKADEMIK,"jadwal prosedur skripsi hanya dari mulut ke mulut, banyak mhs yang tidak tahu",TINGGI
AKADEMIK,sistem krs sering eror parah terutama jam kls,TINGGI
JARINGAN_IT,"sinyal di gedung a lantai 3 bgt lemah, gabisa upload tugas",RENDAH
AKADEMIK,"informasi jadwal seminar mendadak, mhs jadi bingung",SEDANG
FASILITAS,ac nya kurang dingin di gedung b lantai 3 ,RENDAH
AKADEMIK,kls online terganggu soalnya sistem krs sering eror,TINGGI
JARINGAN_IT,"bandwidth wifi kampus sering habis di jam sibuk, tidak produktif di kampus",TINGGI
FASILITAS,"kebersihan gedung a lantai 2 kotor bgt, bisa jadi sumber penyakit",SEDANG
KEMAHASISWAAN,"layanan bagian kemhsan pelayanannya kurang baik, mhs jadi kesal",RENDAH
LAINNYA,"pintu masuk utama gaada satpam, tidak efisien",RENDAH
AKADEMIK,"ruang kls terlalu sempit, gabisa fokus",RENDAH
JARINGAN_IT,jangkauan wifinya terlalu pendek,RENDAH
FASILITAS,"pintu wc gedung rektorat gabisa dikunci, bgt tidak nyaman",RENDAH
KEMAHASISWAAN,"kegiatan ospek kurang dukungan kampus, mhs jadi kesal",RENDAH
FASILITAS,"banyak kursi di gedung c yang gaada mejanya, susah konsen belajar",RENDAH
AKADEMIK,"krs sering eror, banyak yang ketinggalan info",TINGGI
FASILITAS,"ac fakultas hukum cuma pajangan, gak optimal padahal padahal kita sudah bayar ukt",TINGGI
AKADEMIK,"nilai ada yang salah input, mhs jadi bingung",SEDANG
KEMAHASISWAAN,"sosialisasi prosedur dokumen hanya di grup tertentu, banyak yang ketinggalan",RENDAH
LAINNYA,"transportasi parkiran tidak memadai, biaya transportasi jadi membebani",RENDAH
KEMAHASISWAAN,"staff unit kemhsan melayani dengan malas, tidak enak kalau harus ke sana",RENDAH
LAINNYA,"lingkungan sekitar fakultas ekonomi gersang gaada pohon teduh, tidak nyaman buat aktivitas luar",RENDAH
KEMAHASISWAAN,"informasi program beasiswa tidak disebarkan merata, proses terhambat",TINGGI
KEMAHASISWAAN,"senioritas di prodi masih bgt kental, membuat mhs baru tertekan",RENDAH
JARINGAN_IT,"jangkauan wifi gedung c hanya di spot tertentu, tidak produktif di kampus",TINGGI
JARINGAN_IT,"wifi ruang seminar sering disconnect, kls online terganggu",RENDAH
LAINNYA,gerbang gerbang 2 gaada satpam sehingga antrean panjang,SEDANG
FASILITAS,"remot ac prodi akuntansi cuma 2 buat semua lantai, susah hidupinnya",RENDAH
FASILITAS,"wc gedung d airnya tidak mengalir sudah seminggu lebih, harus nahan lama bgt",RENDAH
KEMAHASISWAAN,"kegiatan lomba antar prodi informasinya tidak merata, pengurusan jadi bgt lama",RENDAH
FASILITAS,"lab biologi panas bgt soalnya kurang dingin, capek bgt dikelas",RENDAH
KEUANGAN,"pengumuman deadline pembayaran ukt mendadak bgt, mhs yang urgent jadi kesusahan",TINGGI
AKADEMIK,"ruang kls terlalu sempit, capek bgt dikelas",RENDAH
LAINNYA,"transportasi gaada jalur sepeda, sering terlelet",SEDANG
FASILITAS,lahan parkir di lab kimia sempit bgt jadi sering telat kls,RENDAH
KEMAHASISWAAN,"layanan unit kemhsan sering tutup, mhs jadi kesal",RENDAH
LAINNYA,"lapangan futsal gaada penerangan malam hari, gaada wadah kegiatan olahraga mhs",TINGGI
KEMAHASISWAAN,"informasi kegiatan kemhsan tidak disebarkan merata, mhs jadi kesal",RENDAH
JARINGAN_IT,"sinyal di prodi akuntansi hilang timbul, kls online jadi terganggu",RENDAH
LAINNYA,"jalan di area parkir utama ancur parah berlubang, banjir waktu hujan",SEDANG
FASILITAS,lahan parkir di gedung c tidak teratur jadi sering telat kls,RENDAH
LAINNYA,"gerbang pintu masuk utama jarang dibuka, sering terlelet kls",SEDANG
AKADEMIK,"bimbingan skripsi prosedurnya ribet, proses wisuda jadi molor",TINGGI
AKADEMIK,"jadwal jadwal kls pengganti tidak diinformasikan jelas, banyak mhs yang tidak tahu",RENDAH
LAINNYA,"lapangan badminton bayar 10 ribu padahal mhs uho, gabisa dimanfaatkan optimal",RENDAH
AKADEMIK,"ruang kls terlalu panas, susah konsen belajar",RENDAH
FASILITAS,"kamar mandi fakultas ekonomi ancur total, tidak nyaman sama sekali apalagi kalau kebelet",TINGGI
AKADEMIK,web akademik sering gabisa diakses waktu pengumuman nilai,RENDAH
AKADEMIK,"revisi skripsi prosedurnya ribet, stress bgt ngurusnya",TINGGI
FASILITAS,"parkiran gedung b lantai 3 gada atapnya, kendaraan bisa catnya jadi ancur",SEDANG
AKADEMIK,web akademik sering eror parah waktu masa krs,TINGGI
AKADEMIK,"bahan ajar sudah outdated, nilai bisa jelek soalnya tidak konsen",RENDAH
FASILITAS,"banyak kursi di gedung d yang mejanya patah, mhs jadi malas masuk kls",RENDAH
FASILITAS,"pintu wc prodi akuntansi gabisa dikunci, bgt tidak nyaman",RENDAH
JARINGAN_IT,"jangkauan wifi lab biologi terbatas bgt, gabisa akses spada",RENDAH
AKADEMIK,"website spada tidak user friendly, nilai terancam",TINGGI
AKADEMIK,"sistem portal mhs ui-nya bgt tidak user-friendly, proses akademik terhambat",RENDAH
JARINGAN_IT,"sinyal di gedung b lantai 1 gaada sama sekali, harus keluar ruangan dulu",RENDAH
LAINNYA,"gerbang 3 jarang dibuka, antrean masuk panjang",SEDANG
KEMAHASISWAAN,"fasilitas ruang rapat mhs fasilitasnya minim, pengurusan jadi bgt lama",RENDAH
AKADEMIK,"krs gabisa diakses saat masa pengisian, proses akademik jadi terlelet",TINGGI
AKADEMIK,"krs gabisa tambah matkul, mhs dirugikan",TINGGI
FASILITAS,"fasilitas gedung b lantai 1 sudah bgt ketinggalan, kami sudah bayar ukt tepat waktu",TINGGI
KEMAHASISWAAN,"pengurusan surat izin kegiatan makan waktu berminggu-minggu, bgt tidak efisien",RENDAH
FASILITAS,"kamar mandi gedung b lantai 2 ancur total, tidak nyaman sama sekali apalagi kalau kebelet",TINGGI
LAINNYA,"atm dalam kampus hanya satu dan antrean panjang, terpaksa keluar kampus",SEDANG
KEUANGAN,"ukt naik setiap tahun, tapi wifi-nya gabisa diandalkan",TINGGI
KEUANGAN,"transparansi biaya resmi kampus bgt minim, mhs tidak tahu kemana uangnya pergi",RENDAH
AKADEMIK,"sistem sistem krs terlalu ribet, belajar jadi terganggu",TINGGI
KEMAHASISWAAN,"kegiatan program mentoring informasinya tidak merata, mhs jadi kesal",RENDAH
AKADEMIK,"materi kls sudah outdated, mhs susah belajar mandiri",RENDAH
FASILITAS,"wc gedung b tidak terurus, kotor, dan keran wastafel tidak berfungsi. selain itu kursi perklsan juga banyak yang ancur dan gabisa digunakan.",SEDANG
JARINGAN_IT,wifi kampus lemot parah apalagi kalau jam kls,SEDANG
AKADEMIK,"nilai gabisa diakses di portal, stress bgt ngurusnya",RENDAH
LAINNYA,"kantin pusat tempatnya sempit dan panas, antriannya panjang bgt",RENDAH
FASILITAS,"parkiran prodi matematika gada atapnya, kendaraan bisa catnya jadi ancur",SEDANG
AKADEMIK,"nilai ada yang salah input, stress bgt ngurusnya",RENDAH
FASILITAS,"colokan di lab komputer mipa tidak berfungsi, padahal butuh buat ngecas",RENDAH
JARINGAN_IT,spada sering eror saat deadline pengumpulan tugas,KRITIS
FASILITAS,lahan parkir di gedung a lantai 2 berantakan jadi sering telat kls,RENDAH
JARINGAN_IT,"jaringan di lab kimia gabisa diandalkan, susah akses internet",RENDAH
AKADEMIK,"ruang kls tidak sesuai kapasitas mhs, mhs jadi malas masuk kls",RENDAH
FASILITAS,"kursi di gedung d udah lama sudah tidak layak pakai, kapan diganti?",RENDAH
AKADEMIK,"sistem portal mhs ui-nya susah dinavigasi, nilai terancam",TINGGI
JARINGAN_IT,spada down terus saat masa uts/uas,KRITIS
LAINNYA,"keamanan gedung saat weekend cctv tidak berfungsi, tidak kondusif malam hari",RENDAH
AKADEMIK,"ruang kls tidak sesuai kapasitas mhs, belajarnya terganggu",RENDAH
FASILITAS,"kebersihan prodi akuntansi sampahnya menumpuk, tidak nyaman berada di sini",RENDAH
JARINGAN_IT,"jangkauan wifi perpus pusat hanya di spot tertentu, kls online terganggu",RENDAH
AKADEMIK,"spada gabisa diakses saat masa krs, belajar jadi terganggu",TINGGI
AKADEMIK,"sistem siakad ui-nya membingungkan, tugas jadi terlelet dikumpulkan",SEDANG
KEMAHASISWAAN,layanan kemhsan terkadang jarang beroperasi,RENDAH
JARINGAN_IT,"jangkauan wifi fakultas ekonomi hanya di spot tertentu, susah download materi kls",TINGGI
JARINGAN_IT,spada gabisa diakses saat saat banyak pengguna,RENDAH
KEUANGAN,"prosedur pengajuan keringanan ukt tidak jelas alurnya, mhs jadi bingung",TINGGI
FASILITAS,"plafon ruang kelas b2 bocor saat hujan, khawatir celaka kalau tiba-tiba jatuh",RENDAH
KEMAHASISWAAN,"senioritas di organisasi kampus membuat mhs baru tidak nyaman, membuat mhs baru tertekan",RENDAH
KEMAHASISWAAN,"sosialisasi hak dan kewajiban mhs tidak merata, banyak yang terlewat informasinya",RENDAH
KEUANGAN,"dana penelitian mhs prosesnya berbelit-belit, mhs dirugikan",RENDAH
LAINNYA,"lapangan futsal dikenakan biaya masuk yang tidak semestinya, gaada wadah kegiatan olahraga mhs",TINGGI
KEUANGAN,ukt tidak sebanding fasilitas tapi fasilitasnya jauh dari layak,TINGGI
JARINGAN_IT,"jaringan di fakultas teknik bgt buruk, susah akses internet",RENDAH
KEMAHASISWAAN,"sosialisasi kegiatan kemhsan tidak merata, banyak yang ketinggalan",RENDAH
KEMAHASISWAAN,"senioritas di unit kemhsan masih melewati batas, mhs baru jadi tertekan",RENDAH
JARINGAN_IT,"jangkauan wifi lab biologi tidak luas, gabisa kumpul tugas online",TINGGI
