kategori,keluhan,urgensi
JARINGAN_IT,etdah ini spada lemot parahh sa mau cari matkul dan kmpul tugas susahnya minta ampun dah,SEDANG
KEMAHASISWAAN,"pengurusan dokumen beasiswa harus bolak-balik, mhs jadi kesal",TINGGI
LAINNYA,"gaada transportasi kampus, mhs kesulitan mobilitas",RENDAH
KEMAHASISWAAN,"kegiatan program mentoring tidak terorganisir, mhs jadi tidak antusias",TINGGI
FASILITAS,"banyak kursi di gedung a lantai 1 yang rodanya hilang, gabisa fokus",RENDAH
JARINGAN_IT,spada down terus saat masa uts/uas,KRITIS
KEUANGAN,"dana praktikum jumlahnya tidak sesuai, mhs dirugikan",RENDAH
AKADEMIK,"informasi prosedur skripsi hanya dari mulut ke mulut, stress bgt ngurusnya",TINGGI
JARINGAN_IT,"sinyal di lab kimia gabisa untuk data seluler, kls online jadi terganggu",RENDAH
JARINGAN_IT,spada lemot bgt saat pagi hari,SEDANG
KEUANGAN,"dana penelitian mhs tidak transparan penggunaannya, mhs dirugikan",RENDAH
FASILITAS,lahan parkir di gedung d sempit bgt jadi sering telat kls,RENDAH
LAINNYA,"jalan di area parkir utama gaada lampu penerang malam hari, berbahaya buat motor",RENDAH
JARINGAN_IT,"jangkauan wifi gedung d hanya di spot tertentu, kls online terganggu",RENDAH
KEMAHASISWAAN,"staff sekretariat tidak responsif, tidak enak kalau harus ke sana",RENDAH
FASILITAS,"pintu wc fakultas hukum gabisa dikunci, bgt tidak nyaman",RENDAH
FASILITAS,"kebersihan gedung b lantai 2 jarang dibersihkan, bisa jadi sumber penyakit",RENDAH
KEMAHASISWAAN,"senioritas di prodi masih membuat tidak nyaman, mhs baru jadi tertekan",RENDAH
KEMAHASISWAAN,"fasilitas ruang rapat mhs tidak layak, proses administrasi terhambat",RENDAH
KEUANGAN,"gaada info resmi tentang distribusi beasiswa, mhs hanya dengar dari mulut ke mulut",TINGGI
AKADEMIK,"dosen metode mengajarnya membosankan, proses akademik terhambat",RENDAH
FASILITAS,"parkiran gedung d gada atapnya, kendaraan bisa catnya jadi ancur",SEDANG
KEUANGAN,"dana kkn jumlahnya tidak sesuai, mhs yang kena dampaknya",RENDAH
KEUANGAN,beasiswa distribusinya tidak merata dan hanya yang punya koneksi yang dapat,TINGGI
KEUANGAN,biaya wisuda terlalu mahal dan prosedurnya tidak jelas alurnya,TINGGI
FASILITAS,"kursi di gedung d udah lama sudah tidak layak pakai, kapan diganti?",RENDAH
LAINNYA,"area ruang tunggu kotor tidak terawat, tidak nyaman buat mhs",SEDANG
JARINGAN_IT,wifi kampus lemot parah apalagi kalau acara kampus,SEDANG
LAINNYA,"penerangan jalan di belakang rektorat gaada, berbahaya malam hari",SEDANG
FASILITAS,"remot ac prodi akuntansi cuma 2 buat semua lantai, susah hidupinnya",RENDAH
AKADEMIK,"ruang kls terlalu sempit, gabisa fokus",RENDAH
LAINNYA,sampah di kampus kalau hari libur banyak sekali,RENDAH
KEMAHASISWAAN,"informasi kompetisi mhs tidak disosialisasikan dengan baik, mhs banyak yang tidak tahu",RENDAH
KEUANGAN,"transparansi distribusi beasiswa kurang, mhs tidak tahu bagaimana seleksinya",TINGGI
KEUANGAN,ada pungutan di luar ketentuan yang memberatkan mhs,RENDAH
KEUANGAN,"keringanan ukt susah diajukan, prosedurnya bgt rumit",TINGGI
FASILITAS,ruang seminar kursinya banyak yang hilang dan proyektornya ancur,SEDANG
FASILITAS,lab komputer mipa kursinya mejanya patah dan papan tulisnya gabisa dibaca,RENDAH
JARINGAN_IT,koneksi di gedung a lantai 3 gabisa diandalkan padahal butuh buat kumpul tugas,RENDAH
KEUANGAN,"gaada info resmi tentang biaya resmi kampus, mhs hanya dengar dari mulut ke mulut",RENDAH
AKADEMIK,"bahan ajar sudah outdated, nilai bisa jelek soalnya tidak konsen",RENDAH
LAINNYA,sampah di area kantin menumpuk saat hari libur,RENDAH
KEMAHASISWAAN,"fasilitas lapangan olahraga tidak layak, banyak yang tidak terlayani",RENDAH
LAINNYA,"keamanan gedung saat weekend kurang terjaga, tidak kondusif untuk kegiatan malam",RENDAH
KEMAHASISWAAN,"pengurusan surat keterangan mhs aktif butuh lebih dari 2 minggu, bgt lama",RENDAH
JARINGAN_IT,zoom kls online sering lag soalnya wifi gedung a lantai 2 kurang untuk semua mhs,RENDAH
KEUANGAN,"penggunaan dana kegiatan mhs tidak transparan, mhs tidak tahu kemana uangnya",RENDAH
JARINGAN_IT,"sinyal di auditorium bgt lemah, gabisa akses internet sama sekali",RENDAH
KEUANGAN,"pengumuman perubahan biaya mendadak bgt, prosesnya jadi bgt lama",RENDAH
AKADEMIK,"gaada feedback nilai dari dosen, stress ngurusnya",RENDAH
LAINNYA,"atm/ bank kampus sering eror, tidak praktis",TINGGI
JARINGAN_IT,"bandwidth wifi kampus kurang untuk semua mhs, terpaksa pakai kuota sendiri",RENDAH
KEUANGAN,ada biaya tambahan yang tidak resmi yang tidak semestinya,RENDAH
FASILITAS,"gaada tempat duduk di prodi matematika, padahal bgt dibutuhkan",SEDANG
KEMAHASISWAAN,"layanan bagian kemhsan tidak konsisten, banyak yang tidak terlayani",RENDAH
JARINGAN_IT,spada gabisa diakses saat deadline pengumpulan tugas,KRITIS
FASILITAS,"kebersihan gedung fisip gaada petugas kebersihan, bisa jadi sumber penyakit",RENDAH
LAINNYA,"gaada jalur sepeda di area kampus, padahal bgt dibutuhkan",RENDAH
KEMAHASISWAAN,unit kemhsan sering tutup saat mhs butuh bantuan,RENDAH
AKADEMIK,"dosen jarang masuk, belajar jadi terganggu",RENDAH
KEUANGAN,"pengumuman syarat keringanan ukt tidak diinformasikan jelas, mhs kaget",TINGGI
AKADEMIK,"revisi skripsi bimbingannya tidak terjadwal, mhs dirugikan",TINGGI
LAINNYA,sampah di sekitar parkiran menumpuk beberapa hari,RENDAH
KEMAHASISWAAN,"program pertukaran mhs tidak merata distribusinya, mhs kurang diuntungkan",RENDAH
AKADEMIK,sistem krs sering timeout terus waktu deadline pengumpulan tugas,KRITIS
KEUANGAN,"seleksi beasiswa tidak transparan, hanya orang tertentu yang tahu",TINGGI
KEUANGAN,"transparansi biaya-biaya resmi kampus kurang, mhs tidak tahu apa saja biaya yang resmi",RENDAH
FASILITAS,"tolong ac gedung b lantai 2 segera diperbaiki, kurang dingin dan kita kepanasan parah",RENDAH
LAINNYA,"atm/ bank kampus sering kosong uangnya, tidak praktis",RENDAH
AKADEMIK,"revisi skripsi dosennya susah ditemui, mhs jadi bingung",TINGGI
AKADEMIK,"bahan ajar tidak lengkap, nilai bisa jelek soalnya tidak konsen",RENDAH
FASILITAS,"wc gedung fh airnya tidak mengalir sudah berhari-hari, harus nahan lama bgt",RENDAH
KEMAHASISWAAN,"sosialisasi kegiatan kemhsan tidak merata, banyak yang ketinggalan",RENDAH
FASILITAS,"min, wc di prodi matematika kondisinya jorok bgt, tolong segera diperbaiki",SEDANG
LAINNYA,sampah di area kantin menumpuk beberapa hari,RENDAH
KEMAHASISWAAN,"pengurusan ktm makan waktu berhari-hari, bgt tidak efisien",RENDAH
JARINGAN_IT,"jangkauan wifi perpus tidak sampai semua ruangan, harus geser-geser cari sinyal",RENDAH
KEMAHASISWAAN,"sosialisasi kegiatan kemhsan gaada pengumuman resmi, banyak yang terlewat informasinya",RENDAH
FASILITAS,"parkiran gedung b lantai 3 gada atapnya, kendaraan bisa catnya jadi ancur",SEDANG
AKADEMIK,web akademik sering eror parah waktu masa krs,TINGGI
FASILITAS,"wc gedung a lantai 3 airnya tidak mengalir sudah lama bgt, jadi malas kls",RENDAH
KEUANGAN,"transparansi biaya-biaya resmi kampus kurang, mhs tidak tahu bagaimana seleksinya",RENDAH
JARINGAN_IT,"gaada wifi sama sekali di gedung c, kls online terganggu",RENDAH
LAINNYA,"lingkungan sekitar prodi matematika minim fasilitas publik, panas bgt siang hari",SEDANG
KEUANGAN,"seleksi beasiswa tidak transparan, mhs layak tidak dapat",TINGGI
FASILITAS,"lampu di ruang kelas b2 sering turun saklarnya, mata cepat lelah",RENDAH
FASILITAS,"kursi di fakultas teknik udah lama mejanya patah, kapan diganti?",RENDAH
KEMAHASISWAAN,"layanan layanan administrasi jarang beroperasi, pengurusan jadi lama",RENDAH
AKADEMIK,"gaada feedback nilai dari dosen, proses jadi terlelet",SEDANG
AKADEMIK,"dosen tidak responsif di grup, proses akademik terhambat",RENDAH
FASILITAS,"banyak kursi di gedung fh yang mejanya patah, mhs jadi malas masuk kls",RENDAH
AKADEMIK,"jadwal jadwal kls pengganti mendadak bgt, banyak mhs yang tidak tahu",RENDAH
FASILITAS,ruang kls lantai 2 kursinya gaada mejanya dan acnya juga mati,SEDANG
KEUANGAN,"pembayaran biaya praktikum harus datang langsung berkali-kali, prosesnya jadi bgt lama",RENDAH
AKADEMIK,"krs gabisa tambah matkul, stress ngurusnya",TINGGI
JARINGAN_IT,upload tugas di spada gagal terus soalnya internet gedung fisip gabisa konek,RENDAH
AKADEMIK,"ruang kls tidak sesuai kapasitas mhs, belajarnya terganggu",RENDAH
FASILITAS,"min, wc di gedung a lantai 2 kondisinya airnya tidak mengalir, tolong segera diperbaiki",RENDAH
KEMAHASISWAAN,"layanan layanan administrasi mhs pelayanannya kurang baik, pengurusan jadi bgt lama",RENDAH
LAINNYA,"lingkungan sekitar prodi akuntansi gersang gaada pohon teduh, tidak mendukung kreativitas mhs",RENDAH
KEUANGAN,"keringanan ukt susah diajukan, prosedurnya memakan waktu lama",TINGGI
KEMAHASISWAAN,"sosialisasi kegiatan kemhsan hanya di grup tertentu, banyak yang ketinggalan",RENDAH
LAINNYA,"gerbang gerbang 1 sering macet di satu pintu saja, sering terlelet kls",SEDANG
AKADEMIK,"dosen pilih kasih dalam penilaian, mhs dirugikan",RENDAH
KEUANGAN,"informasi beasiswa tidak disosialisasikan dengan baik, hanya orang tertentu yang tahu",TINGGI
LAINNYA,"lapangan badminton tidak terawat, mhs gabisa olahraga gratis",RENDAH
KEUANGAN,"penggunaan dana penelitian mhs tidak transparan, mhs tidak tahu kemana uangnya",RENDAH
LAINNYA,gerbang gerbang 1 gaada sistem akses sehingga antrean panjang,SEDANG
JARINGAN_IT,"internet di gedung a lantai 3 sering putus, susah download materi kls",TINGGI
KEUANGAN,"beasiswa seleksinya tidak transparan, banyak yang berhak tapi tidak dapat",TINGGI
KEMAHASISWAAN,"program magang kampus merdeka prosedur pendaftarannya ribet, mhs kurang diuntungkan",RENDAH
AKADEMIK,"krs gabisa diakses saat masa pengisian, proses akademik jadi terlelet",TINGGI
JARINGAN_IT,koneksi di prodi matematika lemot parah padahal butuh buat download materi,TINGGI
FASILITAS,"ac di prodi akuntansi berisik bgt, jadi mhs tidak konsen belajar",RENDAH
KEMAHASISWAAN,"sosialisasi kegiatan kemhsan tidak merata, banyak yang terlewat informasinya",RENDAH
FASILITAS,"gedung rektorat panas bgt soalnya bocor, susah konsen belajar",RENDAH
JARINGAN_IT,server spada sering down waktu masa uts,KRITIS
LAINNYA,"transportasi parkiran tidak memadai, biaya transportasi jadi membebani",RENDAH
JARINGAN_IT,wifi nya lemot,SEDANG
KEMAHASISWAAN,"senioritas di prodi sudah melewati batas, membuat mhs baru tertekan",RENDAH
KEMAHASISWAAN,"informasi lowongan magang tidak disebarkan merata, proses terhambat",RENDAH
LAINNYA,"transportasi akses transportasi umum susah, sering terlelet",SEDANG
KEMAHASISWAAN,"layanan hima sering tutup, proses administrasi terhambat",RENDAH
JARINGAN_IT,server spada bapuk ga stabil waktu pengumuman nilai,RENDAH
FASILITAS,"wc gedung b lantai 2 airnya tidak mengalir sudah berhari-hari, terpaksa ke gedung lain yang jauh",RENDAH
LAINNYA,"lapangan futsal gaada penerangan malam hari, gaada wadah kegiatan olahraga mhs",TINGGI
FASILITAS,"wc gedung mipa airnya tidak mengalir dari kemarin, mhs jadi susah kalau kebelet",RENDAH
JARINGAN_IT,spada down terus saat saat banyak pengguna,TINGGI
JARINGAN_IT,"bandwidth wifi kampus kurang untuk semua mhs, gabisa kumpul tugas online",RENDAH
KEMAHASISWAAN,"pengurusan transkip nilai sementara harus bolak-balik, proses terhambat",RENDAH
KEMAHASISWAAN,"informasi program pertukaran pelajar mendadak, mhs banyak yang tidak tahu",RENDAH
AKADEMIK,"krs sering eror, proses jadi terlelet",TINGGI
LAINNYA,"kebersihan area kantin bgt kotor, citra kampus buruk",SEDANG
FASILITAS,"wc lab kimia airnya tidak mengalir sudah berhari-hari, tidak nyaman sama sekali",RENDAH
LAINNYA,"gaada transportasi kampus, sering terlelet",SEDANG
JARINGAN_IT,"jangkauan wifi gedung b lantai 1 tidak luas, harus geser-geser cari sinyal",TINGGI
FASILITAS,ac dalam ruangannya tolong di nyalakan karna seringkali ac nya tda menyala jadinya kepanasan,RENDAH
KEUANGAN,"transparansi penggunaan dana ukt bgt minim, mhs tidak tahu siapa yang berhak",TINGGI
LAINNYA,"jalan di belakang rektorat sempit, banjir waktu hujan",RENDAH
KEMAHASISWAAN,unit kemhsan responnya lelet saat mhs butuh bantuan,SEDANG
LAINNYA,"lingkungan sekitar gedung c gersang gaada pohon, panas bgt siang hari",RENDAH
LAINNYA,"jalan di dekat auditorium gaada penerangan malam, banjir waktu hujan",SEDANG
LAINNYA,"keamanan gedung saat weekend rawan tindak kriminal, mhs tidak merasa aman",KRITIS
AKADEMIK,"ruang kls terlalu panas, gabisa fokus",RENDAH
LAINNYA,"transportasi gaada jalur sepeda, tidak ramah lingkungan",RENDAH
KEMAHASISWAAN,"program bimbingan karir kuota yang terlalu sedikit, mhs kurang diuntungkan",RENDAH
LAINNYA,"lingkungan sekitar perpus pusat kurang terawat, tidak mendukung kreativitas mhs",RENDAH
JARINGAN_IT,"jangkauan wifi fakultas teknik tidak sampai ke semua ruangan, susah download materi kls",TINGGI
FASILITAS,ruang kls lantai 2 kursinya sudah tidak layak pakai dan lampunya remang,RENDAH
LAINNYA,"atm dalam kampus hanya satu dan antrean panjang, terpaksa keluar kampus",SEDANG
FASILITAS,"saklar di perpus pusat sering turun, jadi ruangan jadi gelap",RENDAH
KEUANGAN,"penggunaan dana praktikum tidak transparan, mhs tidak tahu kemana uangnya",RENDAH
AKADEMIK,web akademik sering datanya hilang waktu saat uts/uas,KRITIS
KEUANGAN,beasiswa distribusinya tidak merata dan banyak mhs yang berhak tapi tidak dapat,TINGGI
LAINNYA,"keamanan area parkir gaada satpam, sering kehilangan barang",RENDAH
AKADEMIK,"sistem krs gabisa diakses saat saat uts, tugas jadi terlelet",KRITIS
KEMAHASISWAAN,"kegiatan ospek informasinya tidak merata, mhs jadi kesal",RENDAH
KEMAHASISWAAN,hak mhs dalam hak dan kewajiban mhs kurang disosialisasikan,RENDAH
KEUANGAN,"pembayaran biaya praktikum gabisa online, prosesnya jadi bgt lama",RENDAH
KEUANGAN,"prosedur administrasi keuangan bgt rumit, menghambat akademik",RENDAH
JARINGAN_IT,"koneksi internet gedung fisip gabisa diandalkan, susah download materi",TINGGI
JARINGAN_IT,"sinyal seluler di gedung b lantai 3 hilang timbul, harus keluar dulu baru bisa internetan",RENDAH
AKADEMIK,"bimbingan skripsi bimbingan tidak terjadwal, proses wisuda jadi molor",TINGGI
FASILITAS,"parkiran gedung a lantai 1 gada atapnya, kendaraan bisa lecet-lecet",RENDAH
KEMAHASISWAAN,"kegiatan ospek kurang dukungan kampus, mhs jadi tidak antusias",RENDAH
AKADEMIK,web akademik sering gabisa diakses waktu saat uts/uas,KRITIS
AKADEMIK,"informasi prosedur skripsi mendadak bgt, stress bgt ngurusnya",TINGGI
FASILITAS,"kursi di lab biologi udah lama sudah tidak layak pakai, kapan diganti?",RENDAH
LAINNYA,"gerbang pintu masuk utama gaada sistem akses, sering terlelet kls",SEDANG
KEMAHASISWAAN,"informasi lowongan magang mendadak, mhs banyak yang tidak tahu",RENDAH
AKADEMIK,"spada lemot parah, susah download bahan ajar",TINGGI
KEUANGAN,"pengumuman pengumuman beasiswa tidak sampai ke semua mhs, mhs kaget",TINGGI
KEUANGAN,"dana kegiatan mhs prosesnya berbelit-belit, mhs dirugikan",RENDAH
AKADEMIK,"ruang kls tidak sesuai kapasitas mhs, mhs jadi malas masuk kls",RENDAH
JARINGAN_IT,spada gabisa diakses saat saat banyak pengguna,RENDAH
FASILITAS,"fasilitas gedung a lantai 2 tidak memadai, kami sudah bayar ukt tepat waktu",TINGGI
LAINNYA,"kantin belakang gedung b pilihannya sedikit, mhs susah makan siang",RENDAH
KEMAHASISWAAN,"kegiatan lomba antar prodi informasinya tidak merata, mhs jadi tidak antusias",RENDAH
AKADEMIK,"dosen tidak tepat waktu, belajar jadi terganggu",RENDAH
LAINNYA,"lingkungan sekitar gedung a lantai 1 kurang terawat, gaada tempat untuk bersantai",RENDAH
KEUANGAN,"ukt naik setiap tahun, tapi wifi-nya gabisa diandalkan",TINGGI
LAINNYA,"atm/ bank kampus hanya satu dan sering antre, tidak praktis",SEDANG
JARINGAN_IT,"jaringan di gedung fisip gabisa diandalkan, susah akses internet",RENDAH
LAINNYA,"transportasi parkiran tidak memadai, mhs kesulitan mobilitas",RENDAH
AKADEMIK,siakad uho terkadang gabisa di akses,RENDAH
FASILITAS,"kebersihan gedung a lantai 2 sampahnya menumpuk, baunya tidak enak",RENDAH
KEUANGAN,"beasiswa distribusinya tidak merata, banyak yang berhak tapi tidak dapat",TINGGI
FASILITAS,"tolong ac gedung fisip segera diperbaiki, sudah ancur dan gerah minta ampun",SEDANG
KEMAHASISWAAN,"senioritas di prodi masih melewati batas, mhs baru jadi tertekan",RENDAH
JARINGAN_IT,"jangkauan wifi gedung c terbatas bgt, gabisa kumpul tugas online",RENDAH
KEMAHASISWAAN,"senioritas di organisasi kampus sudah melewati batas, membuat mhs baru tertekan",RENDAH
LAINNYA,"lapangan futsal sempit, lapangan gabisa dimanfaatkan optimal",TINGGI
KEMAHASISWAAN,"staff hima tidak responsif, malas mengurus keperluan ke sana",RENDAH
AKADEMIK,"informasi informasi kkn mendadak, proses akademik jadi terlelet",SEDANG
KEUANGAN,beasiswa prosesnya tidak jelas dan banyak mhs yang berhak tapi tidak dapat,TINGGI
KEUANGAN,"keringanan ukt susah diajukan, prosedurnya tidak transparan",TINGGI
JARINGAN_IT,jangkauan wifinya terlalu pendek,RENDAH
AKADEMIK,"revisi skripsi acc-nya lama, banyak yang ketinggalan informasi",TINGGI
KEMAHASISWAAN,"kegiatan program mentoring waktunya tidak pas, mhs jadi tidak antusias",RENDAH
JARINGAN_IT,"jangkauan wifi lab biologi terbatas bgt, kls online terganggu",RENDAH
KEUANGAN,"pembayaran biaya praktikum prosedurnya rumit, menghambat proses akademik",RENDAH
JARINGAN_IT,"jangkauan wifi gedung fisip tidak sampai ke semua ruangan, gabisa akses spada",RENDAH
KEUANGAN,"pengumuman syarat keringanan ukt tidak diinformasikan dengan jelas, prosesnya jadi bgt lama",TINGGI
LAINNYA,"area area belajar outdoor kotor dan tidak terawat, kurang nyaman buat mhs",SEDANG
KEMAHASISWAAN,"senioritas di fakultas membuat mhs baru tidak nyaman, membuat mhs baru tertekan",RENDAH
FASILITAS,"toilet di gedung b lantai 3 airnya mati total. selain itu, ac di kelas lantai yang sama juga sering kurang dingin kalau siang, jadi mhs kurang konsen belajar soalnya gerah",KRITIS
KEMAHASISWAAN,"kegiatan ospek informasinya tidak merata, mhs jadi tidak antusias",RENDAH
JARINGAN_IT,koneksi di prodi informatika bapuk ga stabil padahal butuh buat akses spada,SEDANG
AKADEMIK,"bahan ajar tidak lengkap, gabisa fokus",RENDAH
AKADEMIK,"revisi skripsi bimbingannya tidak terjadwal, proses akademik jadi terlelet",TINGGI
LAINNYA,"lapangan basket dikenakan biaya masuk yang tidak semestinya, gaada wadah kegiatan olahraga mhs",RENDAH
KEMAHASISWAAN,"info lowongan magang cuma nyebar di grup tertentu, yang lain tidak tahu",RENDAH
FASILITAS,"tolong ac fakultas hukum segera diperbaiki, sudah ancur dan ruangan jadi gerah bgt",SEDANG
KEUANGAN,"transparansi distribusi beasiswa kurang, mhs tidak tahu apa saja biaya yang resmi",TINGGI
AKADEMIK,"dosen tidak memberikan feedback nilai, tugas jadi terlelet dikumpulkan",SEDANG
KEUANGAN,"pengumuman syarat keringanan ukt tidak sampai ke semua mhs, mhs kaget",TINGGI
JARINGAN_IT,"sinyal seluler di lab komputer gaada sama sekali, harus keluar dulu baru bisa internetan",RENDAH
FASILITAS,"pintu wc prodi matematika gabisa dikunci, bgt tidak nyaman",SEDANG
JARINGAN_IT,spada lemot bgt saat deadline pengumpulan tugas,KRITIS
AKADEMIK,"jadwal kls gaada pemberitahuan resmi, mhs jadi bingung",SEDANG
KEUANGAN,ukt naik setiap tahun tapi wifi gabisa diandalkan,TINGGI
KEMAHASISWAAN,"organisasi kegiatannya monoton, gaada wadah aspirasi mhs",RENDAH
KEUANGAN,ada biaya tambahan tidak resmi yang memberatkan mhs,RENDAH
KEUANGAN,"dana penelitian mhs prosesnya berbelit-belit, mhs dirugikan",RENDAH
KEMAHASISWAAN,jika mengurus surat di layanan kemhsan itu butuh berhari-hari bahkan seminggu baru selesai,RENDAH
AKADEMIK,"informasi jadwal ujian hanya dari mulut ke mulut, mhs jadi bingung",TINGGI
LAINNYA,"lingkungan sekitar gedung fh kurang terawat, tidak nyaman aktivitas luar",RENDAH
JARINGAN_IT,"jaringan di gedung d sering putus-putus, susah akses internet",RENDAH
KEMAHASISWAAN,"organisasi kurang dukungan dari kampus, mhs jadi tidak berkembang",RENDAH
AKADEMIK,"sistem spada ui-nya terlalu ribet, nilai terancam",TINGGI
KEMAHASISWAAN,"senioritas di fakultas masih membuat tidak nyaman, mhs baru jadi tertekan",RENDAH
KEMAHASISWAAN,"organisasi gaada regenerasi yang baik, mhs jadi tidak berkembang",RENDAH
KEUANGAN,"beasiswa informasinya tidak merata, banyak yang berhak tapi tidak dapat",TINGGI
KEMAHASISWAAN,"informasi kegiatan kemhsan tidak merata, mhs banyak yang tidak tahu",RENDAH
AKADEMIK,"informasi prosedur skripsi tidak diinformasikan jelas, mhs dirugikan",TINGGI
KEMAHASISWAAN,"program pertukaran mhs prosedur pendaftarannya ribet, mhs kurang diuntungkan",RENDAH
AKADEMIK,"ruang kls tidak sesuai kapasitas mhs, gabisa fokus",RENDAH
LAINNYA,"kantin pusat tempatnya sempit dan panas, antriannya panjang bgt",RENDAH
LAINNYA,"gaada ruang baca outdoor di area kampus, padahal bgt dibutuhkan",RENDAH
AKADEMIK,web akademik sering timeout terus waktu masa krs,TINGGI
LAINNYA,"jalan di dekat auditorium gaada penerangan malam, berbahaya buat motor",SEDANG
AKADEMIK,"informasi jadwal kls pengganti mendadak, mhs jadi bingung",SEDANG
