text,category,urgency
"Harapan saya agar pegawai seperti akademik, keuangan, dll lebih ramah dan sabar lagi, walaupun mahasiswa banyak harusnya bisa sabar dlm memberi pelayanan, jangan karena mahasiswa yang bertanya malah dimarahi/lainnya. terimakasih",AKADEMIK,RENDAH
TINGKATKAN INFORMASI DALA BENTUK KEUANGAN,KEUANGAN,RENDAH
saya berharap agar stikom bali tetap mempertahankan kinerja yang baik dalam menghasilakan sarjana yang kompoten.,LAINNYA,RENDAH
Mengupdate kurikulum secara berkala agar sesuai dengan perkembangan teknologi,LAINNYA,RENDAH
"Harapan saya untuk STIKOM Bali yaitu memperkuat kerjasama global, mengembangkan inovasi lokal, meningkatkan kualitas riset, memperluas digitalisasi layanan pendidikan, dan memberdayakan mahasiswa serta alumni untuk menciptakan lulusan yang unggul dan inovatif.",LAINNYA,TINGGI
saya harap lebih baik lagi untuk kedepannya jika acda yang kurang bagi fasilitas mahasiswa,FASILITAS,SEDANG
"semoga fasilitas bisa di perbaiki lagi, serutama kursi dalam kelas banyak yang mengalami kerusakan",FASILITAS,TINGGI
Semoga tidak sering error website,LAINNYA,TINGGI
harapan saya agar stikom bali dapat berkembang dengan baik,LAINNYA,RENDAH
Harapan saya kedepannya terutama dalam hal fasilitas yang disediakan akan terdapat peningkatan dimana yang dapat saya sebutkan yakni pada fasilitas yang ada dikelas serta penyediaan lahan parkir mengingat saat ini kita sudah mulai kembali belajar secara tatap muka.,FASILITAS,RENDAH
"wifi distabilkan kecepatannya, semua staff harus ramah dan tidak cuek",JARINGAN_IT,RENDAH
Semoga lebih membaik lagi,LAINNYA,RENDAH
Tolong ditingkatkan fasilitasnya,FASILITAS,RENDAH
Dapat lebih baik lagi,LAINNYA,RENDAH
Memberikan Program pelatihan teknologi dan aplikasi untuk mendukung inovasi dan keterampilan mahasiswa,LAINNYA,RENDAH
"Saya harap fasilitas di kampus dirawat dengan baik. Jika terdapat lift yang tidak bisa dipakai, mohon segera diperbaiki",FASILITAS,RENDAH
Saya harap bisa dievaluasi dan diperbaiki lagi fasilitas yang ada sehingga bisa bermanfaat bagis ITB STIKOM Bali nantinya,FASILITAS,TINGGI
Saya berharap STIKOM Bali dapat memperluas kemitraan dengan industri global dan meningkatkan program inovasi berbasis penelitian untuk mempersiapkan lulusan yang lebih kompetitif di tingkat internasional.,LAINNYA,TINGGI
Perbaiki liftnya,FASILITAS,RENDAH
Semoga kedepannya bidang akademik stikom bisa lebih ditingkatkan lagi,AKADEMIK,RENDAH
harapan saya kedepannya bisa ditingkatkan lagi.,LAINNYA,RENDAH
Semoga dapat meningkatkan tempat parkir bagi roda 2 maupun 4,FASILITAS,RENDAH
lebuh memperhatikan tugas yang bisa membuat skill mahasiswa meningkat ketimbang tugas keompok atau yang membuat ketergantunga kepada orang lain,LAINNYA,RENDAH
dapat ditingkatkan lagi pelayanan fasilitasnya,FASILITAS,RENDAH
"Saya berharap agar fasilitas lebih dilengkapi lagi seperti PC, Network System untuk Praktikum dan Fasilitas lainnya yang diperlukan untuk Materi Kuliah Praktikum lainnya",FASILITAS,RENDAH
"Harapan saya semoga wifinya bisa lebih cepat lagi dan password wifi di lab itu bisa diberitahuan, liftnya juga tolong segera di perbaiki. Sediakan juga remot buat proyektor supaya tidak naik naik kursi lagi untuk menghidupkannya serta kursinya sudah banyak yang reot di kelas karena saya sering kebagian kursi reot.",FASILITAS,RENDAH
Semangat untuk kinerja STIKOM untuk kedepannya,LAINNYA,RENDAH
Perkuliahan offline,LAINNYA,RENDAH
"Semoga lebih baik lagi dan sebaiknya memberikan informasi, aturan, dan pedoman kegiatan perkuliahan lebih lengkap dan detail.",KEMAHASISWAAN,RENDAH
Agar lulus skripsi dengan mudah,AKADEMIK,RENDAH
"Mungkin di sion dan e-learning itu sudah bagus, jadi dipertahankan kualitasnya saja. Serta servernya agar tidak down saat ujian atau sebagainya.",LAINNYA,TINGGI
Tidak ada harapan,LAINNYA,RENDAH
"Harapan saya,semoga STIKOM BALI tetap jaya dan kinerjanya semakin meningkat",LAINNYA,RENDAH
Semoga ke depannya lebih ditingkatkan lagi,LAINNYA,RENDAH
Semoga stikom semakin maju lagi,LAINNYA,RENDAH
Harapan saya tetap seperti ini agar pembelajaran bisa dimengerti,LAINNYA,RENDAH
Harapan saya agar STIKOM Bali terus memperbaiki kualitas fasilitas yang ada di STIKOM Bali,FASILITAS,RENDAH
"mungkin lebih tingkatkan kinerja dalan pemberian informasi yang akurat dan cepat, dengan informasi yang cepat dan akurat, para mahasiswa tidak perlu susah susah mencari informasi yang diperlukan",LAINNYA,SEDANG
Tingkatkan fisilitas kampus,LAINNYA,RENDAH
"staff bagian akademik ada baiknya ditambah karena saya mengurus surat pengajuan KP memakan waktu 1 bulan (dipotong libur 1 minggu), saya kira waktu 3 minggu surat saya sudah bisa selesai tapi ternyata sangat lama bahkan saat saya harus bolak balik foll up baru surat saya selesai diproses. setelah itu surat permohonan pembimbing juga memakan waktu 3 minggu, padahal sebelumnya saya dijanjikan surat akan selesai dalam 2 minggu. kalau misal memang memakan waktu 3 minggu sebaiknya bilang dari awal.",AKADEMIK,RENDAH
pertahankan yg skrng...,LAINNYA,RENDAH
mohon diperbarui untuk komputer umumnya,LAINNYA,RENDAH
Semoga selalu menjadi yang terbaik,LAINNYA,RENDAH
"Berharap kedepannya semakin maju dan dan peningkatan nya lebih tinggi lagi, demikian dari saya, ucapan kan terima kasih ??",LAINNYA,RENDAH
tingkatkan update informasi,LAINNYA,RENDAH
semoga lebih modern lagi,LAINNYA,RENDAH
"Besar harapan Saya terhadap STIKOM Bali dalam memperbarui infrastruktur teknologi informasi, seperti jaringan internet yang lebih cepat dan stabil, serta perangkat lunak terbaru yang relevan dengan kebutuhan pembelajaran.",JARINGAN_IT,RENDAH
Harapan saya STIKOM semakin memberikan layanan yang terbaik untuk kami para kelas karyawan tanpa membeda bedakan,LAINNYA,RENDAH
Harapan saya kepada stikom bali untuk kedepannya semoga lebih bagus,LAINNYA,RENDAH
Menambah inovasi baru,LAINNYA,RENDAH
"Harapannya , kedepannya agar prasarana dan pelayanan lebih ditingkatkan lagi .",LAINNYA,RENDAH
Pelayanan di tingkatkan,LAINNYA,RENDAH
semoga lebih baik lagi kedepannya.,LAINNYA,RENDAH
Tingkatkan terus,LAINNYA,RENDAH
"Saya harap kedepannya lebih baik lagi Saran saya, untuk sekuriti mohon untuk bantu mahasiswa saat menyebrang di depan kampus.",LAINNYA,RENDAH
menjadi kampus yang lebih baik lagi,LAINNYA,RENDAH
menyediakan fasilitas belajar yang lebih baik lagi,FASILITAS,RENDAH
"tetap menjadi kampus terbaik, dan nomor 1 di bali",LAINNYA,RENDAH
Tetap dipertahankan pelayanan yang baik,LAINNYA,RENDAH
Mempertimbangkan biaya ukt berdasarkan jumlah sks yang diambil di semester tersebut. Saya rasa terlalu memberatkan ketika membayar ukt full padahal mengambil 1 matakuliah. Terimakasih,KEUANGAN,RENDAH
"Semoga bisa memastikan beberapa dosen untuk paham dengan mata kuliah yang diajarkan sehingga saat kita belajar dikelas pelajaran yang kita dapat jelas, sistematis, dan selaras dengan rps yang ada.",AKADEMIK,TINGGI
Harapan agar lebih baik dari tahun-tahun kemarin dan semakin banyak lagi event-event yang menarik,LAINNYA,RENDAH
Semoga stikom bisa lebih baik lagi dalam menanggapi mahasiswa yang sedang mengalami permasalahan,LAINNYA,RENDAH
"Mungkin Untuk Kantinnya Bisa diperluas lagi, jadi tidak hanya itu saja",LAINNYA,TINGGI
lebih ditingkatkan lagi dlm kebersihan kelasnya dan tingkatkan layanan krs nya biar tidak server down,AKADEMIK,RENDAH
ruang pascasarjana harus di tingkatkan lagi,KEUANGAN,RENDAH
Bisa meningkatkan fasilitas lebih baik lagi,FASILITAS,RENDAH
harapan hanya fasilitas seperti wifi yang perlu di tingkatkan,FASILITAS,RENDAH
lebih ditingkatakan lagi,LAINNYA,RENDAH
"Semoga stikom bali terus mengedepankan kualitas, baik secara akreditasi dan segera bisa menjadi kampus IT terbaik di Bali dengan naik status menjadi ""UNIVERSITAS"" dalam beberapa tahun kedepan, juga serta mempermudah dan membantu mahasiswa dalam melakukan kegiatan belajar, baik secara akademik, administrasi dan kepentingan lainnya.",AKADEMIK,RENDAH
FASILITAS KELAS KURANG JADI SERING KULIAH ONLINE,FASILITAS,SEDANG
Hilangkan sistem yang mengharuskan mahasiswa mendapatkan SKKM dari hal hal diluar kegiatan belajar seperti melalui konser musik yang sebenarnya tidak hubungannya dengan perkuliahan.,KEMAHASISWAAN,RENDAH
Saya mengharapakan fasilitas yang bagus seperti sebuah meja di dalam kelas,FASILITAS,RENDAH
"pertahankan fasilitas dan pelayanan pendidikan STIKOM Bali, kalau bisa ditingkatkan",FASILITAS,RENDAH
Harapan saya hanya ada pada peningkatan lebih lanjut kepada semua kinerja pada kampus agar yang baik bisa menjadi lebih baik,LAINNYA,RENDAH
jika parkir penuh tolong bantu jangan diem aja! proses akademik tolong lebih ditingkatkan misal berkas dijanjikan 3 hari ternyata belum jadi,FASILITAS,RENDAH
"Harapan saya Tingkatkan fasilitas kampus, kebersihan, dan kinerja dosen dalam mengajar",FASILITAS,RENDAH
"mungkin dengan mengevaluasi lagi sarana dan prasarana kamus, seprti tempat duduk ada beberapa yang rusak, ac yang kurang dingin, dan juga wifi yang kurang dan agak sedikit lemot.",FASILITAS,TINGGI
semoga kedepannya meningkatkan mutu kurikulum dengan menyesuaikan perkembangan teknologi saat ini,LAINNYA,RENDAH
"Harapannya semoga kinerja terbaik STIKOM, selalu diterapkan sampai kapanpun agar menghasilkan banyak generasi muda yang siap bersaing di berbagai industri terpercaya didunia kerja.",LAINNYA,RENDAH
Harapannya smoga tetep menjadi kampus it terbaik di bali,LAINNYA,RENDAH
Cari dosen yang lebih niat ngajar,AKADEMIK,RENDAH
"pertahankan yg baik, perbaiki yg buruk.",LAINNYA,RENDAH
Untuk sekarang belum ada,LAINNYA,RENDAH
harapannya agar kedepannya fasiliatasnya semakin baik,LAINNYA,RENDAH
Fasilitas nya perlu di tingkatkan lagi,FASILITAS,RENDAH
Tidak ada keseluruhan sudah baik,LAINNYA,RENDAH
pembentukan tim yang fokus untuk pembangunan dan pengembangan fasilitas atau program baru yang bagus dan terjamin,FASILITAS,RENDAH
fasilitas kampus,FASILITAS,RENDAH
Agar fasilitas toilet di tingkatkan dan fasilitas parkir di perluas,FASILITAS,TINGGI
"Saya berharap ada upaya yang lebih besar dalam meningkatkan fasilitas laboratorium dan ruang kuliah di STIKOM Bali. Fasilitas yang memadai akan memungkinkan mahasiswa untuk lebih terlibat dalam praktik langsung dan eksperimen, sehingga mereka dapat memperoleh pemahaman yang lebih mendalam tentang materi yang dipelajari.",FASILITAS,RENDAH
tingkatkan kinerja lainnya,LAINNYA,RENDAH
akses parkir dan lift,FASILITAS,RENDAH
Harapan saya semoga stikom Bali selalu menjadi terdepan,LAINNYA,RENDAH
Fasilitasikan buku teks di library atau perpustakaan agar Mahasiswa mudah dapat materi.,FASILITAS,RENDAH
semoga stikom bali bisa memenuhi kekurangan kekurangan dari stikom bali seperti lift dan lain lain,FASILITAS,SEDANG
Harapan saya semoga lebih baik,LAINNYA,RENDAH
pemberian waktu para mahasiswa untuk memiliki waktu istirahat agar mahasiswa mendapatkan kemudahan untuk memahami materinya,LAINNYA,RENDAH
"entah ini dibaca atau tidak. menurut saya, mulai dari informasi akademik itu harus jelas. kadang saya bingung dengan informasi yang diberikan. seperti contoh uts kemarin. dimana saya tidak tau bahwasanya uts itu dilaksanakan offline. jadi karena informasi yang saya dapatkan kurang jelas. saya pun tidak bisa mengikutinya. saya harap disaat uas mendatang. informasi yang diberikan oleh akademik bisa lebih terperinci dan jelas. dan juga untuk fasilitas. terutama parkiran. saran saya agar memperbaiki paving yang sudah tidak rata. kadang itu bisa membuat kecelakaan kecil entah seperti kaki kepentok lah, kejengklok. dan juga terkadang saya heran kenapa lampu disana mati. terutama saat pagi sampai sore. menurut saya alangkah baiknya dihidupkan terus. agar kita bisa lebih jelas melihat tempat parkiran kosong, atau sekedar pencahayaan saat kita mencari kunci didalam tas. jadi sekian pendapat dan saran yang bisa saya berikan. semoga pendapat dan saran saya bisa didengar sampai kepada akademik dan juga yang mengurus parkiran. tapi kalo emang tidak tersampaikan juga tidak masalah",FASILITAS,KRITIS
Mungkin pemaksimalan kuliah offline,LAINNYA,RENDAH
Peningkatan fasilitas,FASILITAS,RENDAH
"Sepertinya tidak ada, selama STIKOM baik baik saja, saya tidak akan complain",LAINNYA,RENDAH
Agar lebih baik lagi,LAINNYA,RENDAH
Harapan saya semoga kantin lebih di upgrade,LAINNYA,RENDAH
Untuk saat ini belum ada usulan,LAINNYA,RENDAH
"harapannya semoga bisa lebih baik lagi, dan di tingkatkan fasilitas yang ada di kampus terutama di kelas, seperti kursi, meja dosen , proyektor dll",FASILITAS,RENDAH
Menambahkan fasilitas yang baru lainnya,FASILITAS,RENDAH
Penyebaran Informasi untuk Mahasiswa Pasca yang mengikuti perkuliahan secara daring,LAINNYA,RENDAH
Semoga parkir motornya lebih diperluas,FASILITAS,TINGGI
Sudah sangat baik dan harus selalu di pertahankan,LAINNYA,RENDAH
semoga kedepanya semakin jaya,LAINNYA,RENDAH
semakin baik lagi kedepannya,LAINNYA,RENDAH
"Untuk bagian Akademik, saya mau saran jika proses yang memerlukan suatu syarat seperti wajib Sertifikasi, sebaiknya lebih dikomunikasikan antara penyedia dengan pihak kampus, karena sebelumnya saya coba untuk menanyakan status kewajiban untuk mengikuti sertifikasi untuk DOT perwalian SMTR 2. Tetapi tanggapan dan respon seperti tidak mengetahui alur dan akses untuk mengubah status tersebut, padahal saya juga sudah sempat bertanya ke penyedia sertifikasi yaitu BISMA dan mendapatkan juga untuk diarahkan kembali ke bagian Akademik, seperti tidak ada kejelasan tanggung jawab untuk masalah ini, dimohon kedepan agar lebih siap untuk masalah ini.",AKADEMIK,RENDAH
Semoga semua fasilitas dan pelayanannya dapat dipertahankan dan ditingkatkan,FASILITAS,RENDAH
Kalau dari saya sendiri dari perpustakaannya kalau bisa ditingkatkan supaya bisa mahasiswa suka ke perpus karena sepertinya jarang saya temui karena sibuk berbagai macam,FASILITAS,RENDAH
semoga ac nya di perbaiki menjadi lebih dingin lagi,FASILITAS,RENDAH
Kursi yang sebeleum banyak di lorong ditaruh kembali,FASILITAS,RENDAH
Semoga dapat terus meningkatkan dalam memberikan Pelayanan Jasa serta fasilitas sarana dan prasana yang terbaik.,FASILITAS,RENDAH
Tidak ada. Sudah memberikan kinerja yg terbaik,LAINNYA,RENDAH
Tambahkan fasilitas seperti gedung kalok bisa lahan di sebelah kampus bisa dibeli dan dibuatkan gedung agar pembelajaran bisa dilakukan offline,FASILITAS,RENDAH
"Kamar mandi betulkan menjadi lebih baik lagi agar bisa dikunci, dan tidak bocor lagi, penyebaran wifi belum merata, ac ruangan beberapa tidak dingin.",FASILITAS,RENDAH
semoga lebih bagus dalam segala hal,LAINNYA,RENDAH
"Beberapa alat elektronik di beberapa kelas ada yang tidak berfungsi, semoga dapat segera diperbaiki",LAINNYA,RENDAH
"Kerja sama dengan industri global dapat diperluas, meningkatkan inovasi dalam penelitian teknologi, serta mengembangkan program - program pelatihan lainnya",LAINNYA,TINGGI
fasilitas komputer di lab dan kecepatan internet,FASILITAS,RENDAH
"tidak ada, menurut saya sudah baik, terimakasih.",LAINNYA,RENDAH
"saya berharap kedepan nya bakal ditambahkan banyak sekali hal dan perbaikan dari tiap prasarana yang bisa semua oraqng akses, mulai dari parkir sampai paling dibutuhkan yaitu kantin yang luas dan toilet yang BERSIH",FASILITAS,TINGGI
harapan sudah terpenuhi karna sudah baik,LAINNYA,RENDAH
Stikom Bali semakin berkembang dan lebih maju lagi kedepannya,LAINNYA,RENDAH
tingkatkan fasilitas yang ada,FASILITAS,RENDAH
Untuk kedepannya supaya lebih di perbagus lagi,LAINNYA,RENDAH
"Semoga bangunannya semakin luas jadi kampus semakin megah, perpustakaan lebih besar lagi supaya dapat menampung banyak mahasiswa yang ingin belajar di perpustakaan",FASILITAS,TINGGI
semoga kedepannya kinerja kampus bisa lebih baik lagi,LAINNYA,RENDAH
semakin maju dan semakin jaya,LAINNYA,RENDAH
Lebih baik lagi .mmnng setiap orang kekurangan dan kelibihanya tidak ada yang tau,LAINNYA,SEDANG
"STIKOM Bali perlu memperluas lagi kerja samanya dengan kampus atau perusahaan luar negeri agar mahasiswa punya kesempatan lebih banyak untuk berkembang. Saya juga berharap ada lebih banyak pelatihan soft skill yang fokus ke pengembangan diri dan kewirausahaan, sehingga mahasiswa bisa lebih siap bersaing di era digital.",LAINNYA,TINGGI
perbanyak materi yang terdapat pada sertifikasi,LAINNYA,RENDAH
Saya harap ruangan kelas maupun lab lebih dirapikan. Terima Kasih...,FASILITAS,RENDAH
